product_time,automaton_size,fst_size
0.03366804122924805,16,10
0.0036897659301757812,1,5
0.0003268718719482422,1,6
0.001817941665649414,2,9
0.0018281936645507812,2,9
0.001542806625366211,2,5
0.0005919933319091797,3,7
0.0004279613494873047,2,7
0.0006477832794189453,3,7
0.0007455348968505859,2,7
0.000644683837890625,2,9
0.0006396770477294922,2,9
0.0008046627044677734,2,9
0.00041174888610839844,3,7
0.0006625652313232422,2,7
0.0004525184631347656,3,7
0.0014510154724121094,5,7
0.0004963874816894531,1,9
0.0004987716674804688,1,9
0.0004818439483642578,1,9
0.0005002021789550781,2,7
0.004538536071777344,9,7
0.000553131103515625,1,9
0.0008013248443603516,2,8
0.0018167495727539062,7,9
0.0018465518951416016,7,9
0.0018072128295898438,7,9
0.0010280609130859375,7,7
0.0009596347808837891,4,7
0.008881330490112305,3,8
0.0024313926696777344,10,9
0.002392292022705078,10,9
0.0011949539184570312,1,9
0.0011434555053710938,2,9
0.00112152099609375,2,9
0.0007236003875732422,1,10
0.00015163421630859375,1,5
0.0004334449768066406,1,16
0.0003864765167236328,2,6
0.00046181678771972656,2,6
0.0009553432464599609,1,10
0.007155656814575195,6,9
0.003579378128051758,6,9
0.003548860549926758,1,16
0.0048487186431884766,11,16
0.0015943050384521484,1,16
0.0005729198455810547,4,9
0.0005037784576416016,4,9
0.00035953521728515625,4,5
0.00045013427734375,4,7
0.0004932880401611328,2,7
0.00096893310546875,4,7
0.0017664432525634766,2,7
0.001791238784790039,4,9
0.0006642341613769531,4,9
0.0007634162902832031,4,9
0.0004811286926269531,4,7
0.00046253204345703125,2,7
0.0003826618194580078,4,7
0.0013184547424316406,5,7
0.009682416915893555,6,5
0.003051280975341797,6,16
0.003986835479736328,7,6
0.005220651626586914,8,6
0.0070760250091552734,10,14
0.0031137466430664062,18,6
0.0002110004425048828,1,5
0.0005753040313720703,1,16
0.0005064010620117188,2,6
0.0005738735198974609,2,6
0.006764650344848633,18,14
0.012351751327514648,24,6
0.0005519390106201172,1,9
0.007718801498413086,37,5
0.005004167556762695,37,16
0.007512331008911133,37,6
0.008063793182373047,37,6
0.0027565956115722656,37,5
0.002813100814819336,37,16
0.0041179656982421875,37,6
0.0027129650115966797,36,6
0.00013446807861328125,1,5
0.0003879070281982422,1,16
0.000339508056640625,2,6
0.0004417896270751953,2,6
0.01905679702758789,23,10
0.16188549995422363,116,9
0.15815138816833496,116,9
0.0009253025054931641,1,13
0.0005788803100585938,1,9
0.0005621910095214844,1,9
0.0005290508270263672,1,9
0.0005729198455810547,2,9
0.0005693435668945312,2,9
0.0005559921264648438,2,9
0.0004546642303466797,3,7
0.0005426406860351562,2,7
0.0009181499481201172,1,13
0.03494739532470703,55,9
0.02298593521118164,55,9
0.019262313842773438,55,9
0.02747178077697754,54,21
0.009621381759643555,55,7
0.0007297992706298828,2,7
0.009837627410888672,55,7
8.845329284667969e-05,1,7
0.023224353790283203,55,9
0.022646427154541016,55,9
0.03330826759338379,55,9
0.010273933410644531,54,19
0.013549566268920898,55,7
0.0004558563232421875,2,7
0.006554841995239258,55,7
5.7697296142578125e-05,1,7
0.06678104400634766,33,5
0.01121664047241211,33,9
0.011240482330322266,33,9
0.011313676834106445,33,9
0.004210710525512695,34,7
